title,location,time,link,desc
Full Stack Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",19/03/2023,https://il.linkedin.com/jobs/view/full-stack-developer-at-rayzone-group-3535133545?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=0ck1jKJtnK%2F34fZZj7hIYg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for an experienced, motivated, and results-driven Full Stack Developer to join our R&D teamResponsibilitiesEnd to end development of new and existing features including client and server-side code, database schemas and communication APIs.Working with other developers and engineers on complex features requiring integration of multiple services.Taking part in design and code review process.Working with QA and Product teams to create high quality products and appealing visual design.Keep up with new technologies to improve the development process.RequirementsProven work experience of at least 3 years as a full stack developer.Knowledge of web technologies HTML, CSS, JavaScript, HTTP.Knowledge of any modern front-end frameworks like Angular, React or Vue.js.Knowledge of Node.jsFamiliarity with NoSQL data bases like MongoDB, familiarity with SQL query language.Graphic design and visual communications skills - an advantageCommunication and teamwork skills.Experience working in an Agile development process. Academic Degree in Computer Science or relevant field – advantage "
Full Stack Developer," Ramat Gan, Tel Aviv District, Israel ",21/02/2023,https://il.linkedin.com/jobs/view/full-stack-developer-at-cyolo-3487717263?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=tO6U%2BH5x7pCVmSZUXFfZzg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"Join our amazing R&D team as a Senior Fullstack Developer!We are looking for someone to help us with our mission to connect every entity in the cyberspace easily, by providing an ID-based connectivity and access control solution.What will you do here? Collaborate with different team members on shipping new features in order to enhance the Cyolo product experience. Drive software engineering best practices, such as automated testing, cross-browser testing, CI/CD, documentation, and more. Help build the culture and foundation of the full-stack engineering team as we seek to grow and evolve. As our Senior Full Stack Developer, you must have: At least 2 years of experience with React / Vue.jsAt least 3 years of experience with backend technology and willingness to learn Golang to contribute to backend code (if you have experience with Golang it’s a huge advantage!) A passion for user experience Experience running, testing, and contributing to a complex front-end web application An understanding of how browsers work beyond JavaScript (e.g., HTTP, DOM, Browser APIs) It’s also nice if you have: Experience writing Typescript Direct experience with MobX or an alternative state management solution (Redux, Recoil) The ability to discuss the design and UX aspects of web applications Experience with Domain-Driven Design, Clean Architecture. "
Full Stack Developer," Netanya, Center District, Israel ",27/02/2023,https://il.linkedin.com/jobs/view/full-stack-developer-at-passportcard-labs-3535236023?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=EeW4v4fYmJdzO%2FPdGSZCUg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a talented developer to join our development team. In this role, you will be responsible for designing, coding, testing, modifying, and implementing new or existing software products. Your duties will include liaising with the business, writing clean, scalable code, creating testing protocols, fixing bugs, and deploying programs.To ensure success as a developer, you should have advanced knowledge of programming languages, excellent problem-solving skills, and the ability to work to a deadline. A top-class developer works together with the development team to create high-level programs that perfectly meet the needs of the company.Developer Responsibilities:Close, ongoing contact with members of business to discuss the scope of software projectsAnalyzing existing programs for modification purposesResearching and designing new featuresWriting and implementing, clean, scalable codeTroubleshooting and debugging codeVerifying and deploying software systemsEvaluating user feedbackRecommending and executing program improvementsMaintaining software code and systemsRequirements:Developer Requirements:At least 3 years experience.Advanced knowledge of programming languages including C#, HTML, JavaScriptKnowledge of software systems and frameworks including Azure DevOps, Git, and .NET.Experience with object-Relational Mapping (ORM) frameworks.ExperienceFamiliarity with Agile development technologies.Ability to learn new languages and technologies quickly.Excellent communication skills.Ability to work as part of a team or individually on a project.Ability to work well under pressure. "
Software Developer," Herzliya, Tel Aviv District, Israel ",04/04/2023,https://il.linkedin.com/jobs/view/software-developer-at-nayax-3570356785?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=ycXMZEyuUYyxDgyqKNykmQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"Nayax is looking for an backend developer to join our software team. If you are a highly motivated, enthusiastic, and experienced software developer – We offer a great working environment in a successful company and development opportunities going forward.The Software Developer will be part of the R&D team and report to the Software Team Leader.IN THIS POSITION YOU WILL:Write and maintain backend services and microservicesDelve into a legacy as well as develop new codeMaintain enhance and develop unit/e2e/integration testsRequirements:WE ARE LOOKING FOR SOMEONE WITH:B.Sc. in Computer Science or Software Engineering3-5 years experience with C#Fair knowledge of SQL, preferably with T-SQLSOLID skills in C# (.net core and .net framework), Object Oriented, Design PatternsA problem solver, bug finder, and fixer.Passion for improving upon current code, introducing and assimilating new technologiesExperience in unit/e2e/integration testsADVANTAGES:Experience with python Experience with logic-rich databasesWho we are:Nayax is a leading global end-to-end retail technology platform for unattended & attended commerce. Our mission is to simplify commerce and payments for retailers while driving growth, optimizing operations, and enhancing consumer engagement.With a strong global presence over the past 17 years, our core products and innovative solutions provide ample professional development opportunities and a strong sense of community within our organization.Nayax Israel is our largest site, housing over 20 different departments and located in the prestigious Herzliya Hills, just a short drive north of Tel Aviv or a very short walk from the train station.Our open space offices accommodate our 400+ employees and when we’re not hard at work, you can find us enjoying an afternoon coffee on the balcony.For a glimpse of what it's like to work at Nayax, check out our Instagram account! https://bit.ly/3G3QDc4.Check out Nayax's page under ""Best Cool Israeli Companies 2022"" by Secret Tel-Aviv: https://bit.ly/3LqzElA.Nayax is constantly growing and we are always on the lookout for enthusiastic, innovative and eager individuals to join us in our growth! "
Front End Developer," Herzliya, Tel Aviv District, Israel ",15/03/2023,https://il.linkedin.com/jobs/view/front-end-developer-at-firearc-technologies-ltd-3554982738?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=rSEd76bxILLzDMV4uu6qyw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"FireArc owns, develops, and continually optimizes an intricate system of digital assets, contents, and infrastructures, all contributing to our digital advertising ecosystems.Our products and digital content range from utility applications, habit-tracking mobile apps, and gaming apps, to native advertising ad tech. All our products and content coordinate together to create unique monetization solutions and advanced revenue streams for digital properties.﻿Your Impact & Responsibilities:Design, build, and maintain efficient, reusable, and reliable Front-End codeImplement performance and quality modulesHelp maintain code quality and organizationRequirements:﻿ At least 3+ years of hands-on experience in Front End web development.At least 2+ years of working with WordPress.Deep understanding of JavaScript and TypeScript.Experience with at least one of these frontend frameworks: VueJS / React / Angular.Knowledge of frontend web technologies (HTML, CSS, JS) Proven design skills, planning and development of new user-facing products and features.Experience with distributed version control systems (Git, etc.)Fluent level of English (written and verbal skills). Smart, interdisciplinary, fast learner, and a team player.Can-do attitude, and proactive approach to problem-solving.Education:Bachelor’s degree in computer science or equivalent military experience "
Full-Stack Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel ",07/02/2023,https://il.linkedin.com/jobs/view/full-stack-engineer-at-4m-analytics-3466166693?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=vA3kswe%2BMRrB9bJzX1B6uw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"Full Stack EngineerWho We Are:The 4M story is likely one you haven’t heard before: we are on a mission to create a global map of the subsurface, to do for the world below ground what Google Maps did for the world above. Achieving this goal requires amazing products and technology, which both come from having strong teams built of great people who love to collaborate, innovate, and solve complex challenges.We Are Looking For:An experienced full stack engineer who is comfortable with both front and back end programming, with passion for tech to build products that people love.The web application is part of 4M’s product strategy to create impactful and frictionless accessibility to interactive subsurface mapping for hundreds of thousands of businesses and consumers worldwide.Your Mission:As part of the application team, you will be responsible for designing and developing front end scalable, web architecture and platform services from end to end. Part of your job is to collaborate with product managers, UX/UI designers, Geo information analysts in order to deliver the best features.In addition, as a leading developer in the field, you will mentor fellow team members and review outsourced work which we may take advantage of to increase development capacity.You Will be a great fit for the Full Stack team, if you are excited about:Joining a strong and performant team, which is responsible for building interactive web applications that customers love, which are extracting the value from our unique subsurface infrastructure mapping data.Requirements:We are seeking for someone who has:2+ years of programming experience in the industry as a web developer writing in; HTML, CSS, and JavaScript / TypeScript (NodeJS).2+ years working with JS MVC frameworks such as React or AngularAbility to write high-performance, well-designed, well-crafted, readable, and tested code in a team environment2+ years of programing backend services in python/go/java/scala Experience working with both SQL and NoSQL databases such as Redis, MongoDB, DynamoDB or Cassandra.Experience with developing and deploying apps to a cloud environmentExperience working with modern CI/CD tools and processesGreat communication skills with verbal and written skills in EnglishExperience with maps applications - an advantageExperience with ReactJS - an advantageExperience with Flutter – an advantageB.Sc in computer science or similar - an advantageDiverse PerspectivesWe know that innovation thrives on teams where diverse points of view come together to solve hard problems. As such, we explicitly seek people that bring diverse life experiences, diverse educational backgrounds, diverse cultures, and diverse work experiences. Please be prepared to share with us how your perspective will bring something unique and valuable to our team. "
React Developer," Lod, Center District, Israel ",26/02/2023,https://il.linkedin.com/jobs/view/react-developer-at-abra-r-d-solutions-formerly-devalore-3509238482?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=glWQNxjcxNpAQFWLkj%2Fibw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,"abra R&D solutions is looking for a skilled React developer to join our team and help us build & maintain innovative and engaging web apps in the Fintech domain, used by millions of users.The ideal candidate will have experience with React and a strong understanding of web development best practices. You will be responsible for development of all features end to end, including managing data store and UI animations, full accessibility support, high performance and securing sensitive data.If you are passionate about web development and have a strong desire to learn and grow, we want to hear from you!Requirements:Responsibilities:Develop and maintain high-quality web app using React.Participate in the architecture, design, and development phase of software productionManage personal work tasks for optimized software delivery.Continuously discover, evaluate, and implement new technologies to maximize development efficiency.Troubleshoot and debug any issues that arise.Deliver high-quality software with extensive Unit Testing.Be responsible for developing and testing critical components of the system.Collaborate closely with the team in designing software and hardware.Participate successfully in an established daily Scrum process.The job includes interactions with the product/project managers, designers, QA, and more!Must Have Requirements:1+ years of experience with React.Experience with Zustand - AdvantageExperience with animations.Strong problem-solving skills and attention to detail.Good verbal and written communication skills.Apply now and be a part of our growing team!abra R&D Solutions is proud to be an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law. "
Backend Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",13/03/2023,https://il.linkedin.com/jobs/view/backend-developer-at-faye-3554201965?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=ZQlBHk2PeyBGsneqSG1%2BRw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a backend developer who loves building rock-solid APIs that are used by dozens of different applications to change the way people interact with travel insurance.We have a series of applications written in Node.JS (using the Nest.JS framework) and we're looking to grow the team responsible for the heart of our technology stack.Qualifications:2+ years of actual work experience with backend development.Direct experience with with a web framework such as Nest, Koa, or Express.Strong experience with data-based applications and a working knowledge of SQL.You don't have to love unit and integration tests, but you know how to write them well.Bonus points for:Direct experience with Typescript and Node.JSFamiliarity with AWS and in particular ECSA love of travel (and insurance as well). "
Frontend Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",23/03/2023,https://il.linkedin.com/jobs/view/frontend-developer-at-moonshot-marketing-ltd-3534435005?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=1u2jt1VRa4oDBxboumyFFA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"Moonshot Marketing is a profitable, revenue-generating tech startup in the field of digital marketing. We leverage Artificial Intelligence to help online advertisers maximize results from their campaigns. As Moonshot continues to grow, we're seeking talented individuals like you to help us scale and create our next-generation product.We are looking for a Mid-Level Frontend Developer with a strong UI orientation and up-to-date knowledge of the latest technologies. As a Frontend Developer at Moonshot, you will work with advanced technologies such as React and NextJS to create optimal solutions that meet product requirements, focusing primarily on UI components.Requirements:At least 3+ years of experience in React (w/ Hooks), TypeScript, and JavaScript.Proficient knowledge of CSS/SCSS.Architectural understanding of web applications.Expertise in cross-platform and cross-browser development.Responsibilities:Develop complex frontend web platforms using React, TypeScript, and other modern web technologies.Collaborate with team members to achieve project goals and ensure seamless integration with backend services.Participate in code reviews, adhering to best practices and guidelines.Utilize established development tools and conventions, including but not limited to React, TypeScript, AWS, and JavaScript.Mentor and support junior developers, sharing knowledge and expertise.Bonus Skills & Experience::Experience with state management tools like MobX or Redux.Familiarity with NextJS.Experience with GraphQL.Experience with unit testing frameworks such as Jest, Cypress, etc.B.Sc. in computer science or an equivalent degree.Join our team at Moonshot Marketing and contribute to the development of cutting-edge digital marketing solutions. We offer a collaborative work environment, and numerous opportunities for growth and development.Apply now and become a part of our team "
Full Stack Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",19/03/2023,https://il.linkedin.com/jobs/view/full-stack-developer-at-accessibe-3561451885?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=jNZa8UIdFbWgQl25uKzqTw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,"accessiBe is the market leader in web accessibility that makes websites accessible to people with disabilities. accessiBe is more than a workplace, it’s a passion. Each day you’re surrounded by people who share the same goal and values, who work passionately to break down accessibility barriers. We care about all people, regardless of their ability. We hire people that are determined to succeed and who are not afraid of rapid change. Our core values showcase who we are and we strive to focus on excellence and sincerity.We are looking for a Full Stack Developer to join our growing R&D department. You will be responsible for influencing the department's architecture, methodologies, and work protocols. This role is hands-on while being able to learn new things every day and adapting to the company’s growth.Want to make a real impact? Click here and find out how! Click here to learn more about accessiBe's #companyculture ﻿What you'll be doing:End-to-end ownership (from design to deployment) of new components, prototypes, services, and new features.Providing tech architecture designs backed by diagrams and documents.Smashing bugs and preserving the systems alive.Conducting code and design reviews for other teammates.Take part in building the R&D department’s processes and workflow from scratchShare your expertise among the team and become a mentor for new teammates.Technology Stack: NodeJS, React, MongoDB, My-SQL, GCPRequirements:4+ years of proven experience as a Full Stack developerProven experience and deep understanding of web applications developmentWorking experience with one of the following backend technologies: PHP, NodeJS, Python, Ruby, Java, C#, Go and alike.Working experience with one of the following frontend technologies: VueJS, ReactJSWorking experience with relational and non-relational databasesWorking experience with cloud environments (preferred AWS), CI/CD processes, and virtualization: Docker, Kubernetes.Working experience with test automation (unit, functional, E2E, etc) "
Front end software developer," Yoqneam Illit, North District, Israel ",30/03/2023,https://il.linkedin.com/jobs/view/front-end-software-developer-at-nielseniq-3545878386?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=fx4AiA8B%2F8XZUeB%2B4sh7hQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,"Company DescriptionNielsenIQ Activate is the leading provider of AI-powered customer analytics, personalization, and brand collaboration platform. Serving dozens of retailers and brands across the world using cutting edge big-data, real-time analytics, and data-science automation. Recently acquired by NielsenIQ, ciValue’s solution is disrupting existing data & media monetization model by enabling retailers to remain in control of their revenue.We believe that building a great product and teams starts with amazing, diverse minded and bright people who make an impact, generate creative & innovative ideas and take on new perspectives.Job DescriptionDesign and Develop a large-scale robust software in a cloud environmentResponsibility for the client side of the application (a highly sophisticated User Interface)Define and drive the long-term UI product strategy QualificationsAt least 5 years of experience as a Front-end developerAt least 2 years of React (or Vue / Angular) experience, developing web applications. TypeScriptB.Sc in computer science or equivalent. Experience with CSS / Styled ComponentsExperience in developing UI infrastructure (UI components)Be highly detail oriented yet a strong business & product understanding. Self-motivated and able to define, plan and implement goals, tasks and projects. Experience in Storybook - AdvantageKubernetes & Docker - AdvantageSQL / Databases - AdvantageFrontend testing - unit and components - AdvantageAdditional InformationOur BenefitsFlexible working environmentHealth insuranceParental leaveLife assuranceAbout NIQNIQ, the world’s leading consumer intelligence company, reveals new pathways to growth for retailers and consumer goods manufacturers. With operations in more than 100 countries, NIQ delivers the most complete and clear understanding of consumer buying behavior through an advanced business intelligence platform with integrated predictive analytics. NIQ delivers the Full View.NIQ was founded in 1923 and is an Advent International portfolio company. For more information, visit NIQ.comWant to keep up with the latest updates on our business and #LifeAtNIQ? Follow us on: LinkedIn | Instagram | Twitter | FacebookOur commitment to Diversity, Equity, and InclusionNIQ is committed to reflecting the diversity of the clients, communities, and markets we measure within our own workforce. We exist to count everyone and are on a mission to systematically embed inclusion and diversity into all aspects of our workforce, measurement, and products. We enthusiastically invite candidates who share that mission to join us.We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Our global non-discrimination policy covers these protected classes in every market in which we do business worldwide.Learn more about how we are driving diversity and inclusion in everything we do by visiting the NielsenIQ News Center: https://nielseniq.com/global/en/news-center/diversity-inclusion/NIQ or any of our subsidiaries will never ask you for money at any point of the recruitment or onboarding process. "
Full Stack Developer," Yokneam Ilit, North District, Israel ",03/03/2023,https://il.linkedin.com/jobs/view/full-stack-developer-at-commit-3539621771?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=1bBlotNzOtTPI3BDU6aszg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"SkySoft Solutions is looking for a Java and JavaScript Full Stack Developer to design and develop innovative cloud solutions. The candidate must have demonstrated experience in designing and developing software products.This is a great opportunity to join our leading backend team, work with multiple cutting-edgetechnologies and domains. You will be involved in making business-critical decisions, develop using the latest open-source frameworks and DevOps tools, collaborate with other strong developers in a fast and dynamic development environment.Requirements: 2+ years of experience in software development in Java and JS- Must Experience with Java (11+)Experience with JavaScript Experience with Microservices architecture Familiarity with Kafka - Advantage Experience with modern databases such as SQL\NOSQL Experience with Docker, Kubernetes - Advantage "
Full Stack Developer," Ramat Gan, Tel Aviv District, Israel ",19/03/2023,https://il.linkedin.com/jobs/view/full-stack-developer-at-dragontail-systems-3562281668?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=fwAxfR5opETLmniDlWaX1Q%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,"Dragontail Systems is the leading B2B company of revolutionary optimization software for the food and delivery industry with global presence.Recently joined YUM! Brands, a company with over 52,000 restaurants in more than 150 countries and territories primarily operating the company’s restaurant brands – KFC, Pizza Hut, Taco Bell and The Habit Burger Grill.As a Full Stack Software Engineer you will be a key member of the development team. You are an accomplished back-end developer and you spend also part of your time solving UI/UX challenges making great end to end solutions. You are expected to help design and deliver components and applications . You will own your code from design through implementation and test automation, delivering high quality and valued software.Requirements:3+ years backend development experience2-3 years production Golang experience - Advantage2+ years of SQL experienceExperience with advanced JavaScript frameworks such as – React / Vue / AngularUnit tests experienceExperience working within an Agile SDLC processStrong interpersonal, written, and oral communication skills (English/Hebrew)Technical documentation skillsAbility to present ideas in user-friendly languageSelf-motivated and directed, with keen attention to detailAble to prioritize and execute tasks in a high-pressure environment "
Full Stack Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel ",27/03/2023,https://il.linkedin.com/jobs/view/full-stack-engineer-at-cynet-security-3538930049?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=6o13phgSgimKd5C9GbBxtQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are seeking a Fullstack Engineer with a strong orientation to scaleable Web services, Applications and APIs.Become a part of the engineering team that works very closely with Cynet developers, architects, and product managers.As part of your job, you will:Be responsible for developing and implementing features and functionality.Build a full-fledged SaaS application.Analyze product requirements and create development tasks that satisfy the requirements.Develop tools and libraries that will enable rapid and scalable development in the future.Improve system quality by identifying issues and common patterns and developing standard operating procedures.Investigate and use new technologies where relevant.Provide written knowledge transfer material.Deliver tasks at hand, maintaining quality and on-time.Provide solutions for ad-hoc issues arising from the field. Enhance applications by identifying opportunities for improvement, making recommendations, and designing and implementing systems.Work closely with the various engineering, research, product, design, and scrum teams to deliver the best product to our customers.Requirements:You are:2+ years experience as a Full Stack engineer.Proven 2 years of experience in Node.js a MUST.Strong knowledge of Javascript and TypescriptKnowledge in React – MUST!Knowledge in C# / Java – advantage!Designing and implementing scalable web services, applications, and APIs.Confident in your own skills while constantly seeking to learn and keep up with modern practicesKnowledge in CI/CD environmentsFlexible- Open to switching contexts between tasks per priority shifts and switching between solutions adaptabilityA passion for solving problems and providing workable solutionsOther: Exceptional interpersonal skills, and team player.Ability to explore and drive new ideas and technologies, think, and learn independently.Comfortable with a startup-like environmentFluent in Hebrew and English "
Junior Software Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel ",29/03/2023,https://il.linkedin.com/jobs/view/junior-software-engineer-at-optimove-3549571226?refId=%2FlzvY5sLwobx1D9qZhHp%2FA%3D%3D&trackingId=rDOUCYe2XYWk2Rfm3vlPmA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Optimove is a global marketing tech company, recognized as a Leader by Forrester and a Challenger by Gartner. We work with some of the world's most exciting brands, such as Papa John's, Staples, and Entain, who love our thought-provoking combination of art and science. With a strong product, a proven business, and the DNA of a vibrant, fast-growing startup, we're on the cusp of our next growth spurt. It's the perfect time to join our team of ~400 thinkers and doers across NYC, LDN, TLV, and other locations, where 2 of every 3 managers were promoted from within. Growing your career with Optimove is basically guaranteed.Based in central Tel Aviv, our R&D operation is a dynamic environment, where every developer can impact the flow of technology – from introducing the smallest library to making big infrastructure changes. We welcome open-minded developers who like to share knowledge and help each other push Optimove forward to the cutting edge of today's tech.If you always dreamed of being a REAL developer this is the team for you. Our core team can do it all ( C#, NodeJS, SQL, Docker, GCP, cloud functions, CI/CD...) on a growing fast, high-scale product that handles thousands of events per second.Responsibilities:We are a team of technophiles who hate latency. As a member of our team, you will need to:Develop and maintain systems that can process complex requests within a few milliseconds. Tackle advanced engineering challenges in multiple languages and environments. On every product that the team manages, from ideation and planning, all the way to production and monitoring. Teach and learn. We love to inspire and be inspired and make sure that each team member has their place to grow and excel. Work both autonomously and collaboratively with the team and other Optimove teamsRequirements: B.Sc. in computer science or equivalentAt least 1-2 years of experience in backend development- mustExperience with C#/.NET Core / Node.js (TypeScript)- mustAnalytical mindset, strive to make data-driven decisions. AdvantagesExperience working with micro-services architecture. Experience with Client-Side Angular frameworkExperience with RESTful Web APIExperience working with SQL and/or NoSQL databases. "
Junior Full stack developer," Sarid, North District, Israel ",12/03/2023,https://il.linkedin.com/jobs/view/junior-full-stack-developer-at-tomax-think-academy-3524839078?refId=%2FlzvY5sLwobx1D9qZhHp%2FA%3D%3D&trackingId=kk3r7qjQT4fVeA8PiL47YQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Since 2004 Tomax has created cutting-edge digital solutions for higher education. We specialize in the end-to-end management of the entire exam and assessment lifecycle.Our software empowers universities and colleges to efficiently, effectively, and expertly prepare, manage, grade, review, control, and secure the exam and assessment process. our software and professional services are in use at 100+ universities with international expansion activities currently in progress.We are looking for an exceptional Full stack engineer to join us in our mission to provide Tomax customers with a coherent and usable experience. As a Full Stack engineer, you will be designing the next generation of Tomax’s products.Be part of the team and develop together scalable services and componentsTurn requirements into simple, elegant, optimal solutionsWork with team members and other groups to achieve company goalsDeliver high-quality code, collaborate with team members and aspire for engineering excellenceRequirementsBachelor in Computer Science or SW engineering Coding skills in JavaScript coupled with a strong base in object-oriented design and functional programmingStrong Experience in Node.js web frameworkExperience working with a modern web framework (React / Vue / Angular ).Deep experience and understanding of Javascript, CSS & HTML5.Ability to write clear, high-quality code for UI componentsDeep knowledge and understanding of frontend architecture and experience in building large-scale web applicationsExperienced with relational databases(MySQL, Postgres, etc.) good working knowledge of SQL, Experience in API design and best practicesExperience in building micro services-based architecturesFamiliarity with build tools like WebpackExcellent problem-solving skills and understanding of Object-Oriented Designs and Design PatternsStrong verbal and written communication skillsPreferred Qualifications :Strong base on AWS or any other cloud providerExperience with non-relational databases (MongoDB, Cassandra, Dynamo DB), designing schemas "
Front End Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",12/03/2023,https://il.linkedin.com/jobs/view/front-end-developer-at-go7-3524841273?refId=%2FlzvY5sLwobx1D9qZhHp%2FA%3D%3D&trackingId=6OklgkRssPo7bWOrq1Q61Q%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a skilled Front End Developer with a strong background in React and TypeScript. The successful candidate will be responsible for developing and maintaining a large-scale product. You will work closely with our development team to ensure the product is functional, intuitive, and user-friendly. You are looking for an opportunity to join a great team and take a key role, which will also boost your career.Responsibilities:Develop and maintain our product using React and TypeScriptWrite clean, reusable, and maintainable codeCollaborate with our design team to ensure a seamless user experienceImplement new features and functionalitiesOptimize application performanceWrite automated tests to ensure code qualityWork closely with our development team to resolve issues and bugs "
Full-Stack Developer," Bnei Brak, Tel Aviv District, Israel ",23/02/2023,https://il.linkedin.com/jobs/view/full-stack-developer-at-arbox-3489443475?refId=%2FlzvY5sLwobx1D9qZhHp%2FA%3D%3D&trackingId=UORHQoVrRUkgo%2F%2BZjAVQXA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Our incredible team is seeking a motivated Full-Stack Developer to join us!As a developer, you'll deepen your skills, elevate our product and impact the fitness & wellness industry.Passion for technology and wellness? We want you!About Us:At Arbox, we live and breathe health and well-being.Our goal is to empower small to medium business owners to shift from industry experts to business experts.By using Arbox, our customers can focus on building their community and ensuring their clients' satisfaction while simultaneously growing their business. Our SaaS product has had a tremendous impact on our rapidly expanding global clientele, serving millions of end-users.At Arbox, we value a lively, forward-thinking, enjoyable, and supportive environment. We seek individuals who are friendly, imaginative, and dynamic, אישא share our belief that health and well-being are at the core of a better life.What your Arbox day will look like:Design, develop, modify, debug, and/or maintain front-end and back-end features, according to functional, non-functional, and technical design specifications.Deliver features end-to-end taking full ownership and manage the whole software development lifecycles, from design to release.You will be encouraged to actively look for innovation and continuous improvement, efficiency in all assigned tasks. Collaborate with other team members to develop and improve features, including design and code review in an agile environment.Requirements:B.Sc. in Computer Science or related degree from a leading university/college1+ years of experience in development - Highly preferredExperience with modern framework - React/Angular - A MUSTExperience with state management such as Redux - AdvantageExperience with MySQL - AdvantageExperience with Laravel framework - AdvantageAn autodidact fast learner, self-starter, broad-minded with a “can do” approachBring your spark :) "
Front End Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",14/04/2023,https://il.linkedin.com/jobs/view/front-end-developer-at-fiverr-3564038484?refId=%2FlzvY5sLwobx1D9qZhHp%2FA%3D%3D&trackingId=usLYFQ2zl5pOI2rgjtiY7g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"DescriptionAre you ready to work on massive web projects and features that are being used by millions across the world? If yes, then you’ve come to the right place.As a Frontend Engineer at Fiverr, you'll be responsible for implementing core product features, building client infrastructure, and finding innovative solutions while working with cutting-edge technologies (React, Redux, ES6, Webpack, HTML5, and CSS3). We're looking for top talent that's ready to level up their skills in an exciting and fast-paced environment.Our work model is hybrid, combining remote and on-site work. This allows us to get things done when and where we are most productive.WHAT AM I GOING TO DO?Build packages, modules and reusable components that will be used across our codebase.Design, develop, test and deploy high traffic features, with an emphasis on scalability and performance.Be in charge of your team's technical domain - from design to production.Requirements3+ years of Javascript experience, working knowledge of asynchronous programming and ES6 concepts3+ years of HTML/CSS experience, familiarity with cross browser compatibility, accessibility and SEO best practicesExperience with browser APIs & front end performance optimizationsFluent EnglishAt Fiverr, we’re not about checklists. If you don’t meet 100% of the requirements for this role but still feel passionate about the position and think you have the right skills and qualifications to excel at it, we want to hear from you.EQUAL OPPORTUNITIESAt Fiverr, we prioritize diversity. We celebrate difference and embed it into every aspect of our workplace and product, as well as our community. Fiverr is proud and committed to providing equal opportunity employment to all individuals regardless of race, color, religion, sex, sexual orientation, citizenship, national origin, disability, Veteran status, or any other characteristic protected by law. In addition, Fiverr will provide accommodation to individuals with disabilities or a special need. "
